Time Start	Time End	Scan #	Type	7.91 nm	8.20 nm	8.51 nm	8.82 nm	9.14 nm	9.47 nm	9.82 nm	10.18 nm	10.55 nm	10.94 nm	11.34 nm	11.76 nm	12.19 nm	12.63 nm	13.10 nm	13.58 nm	14.07 nm	14.59 nm	15.12 nm	15.68 nm	16.25 nm	16.85 nm	17.47 nm	18.11 nm	18.77 nm	19.46 nm	20.17 nm	20.91 nm	21.67 nm	22.47 nm	23.29 nm	24.14 nm	25.03 nm	25.95 nm	26.90 nm	27.88 nm	28.90 nm	29.96 nm	31.06 nm	32.20 nm	33.38 nm	34.60 nm	35.87 nm	37.18 nm	38.54 nm	39.95 nm	41.42 nm	42.94 nm	44.51 nm	46.14 nm	47.83 nm	49.58 nm	51.40 nm	53.28 nm	55.23 nm	57.25 nm	59.35 nm	61.53 nm	63.78 nm	66.12 nm	68.54 nm	71.05 nm	73.65 nm	76.35 nm	79.15 nm	82.05 nm	85.05 nm	88.17 nm	91.40 nm	94.75 nm	98.22 nm	101.82 nm	105.54 nm	109.41 nm	113.42 nm	117.57 nm	121.88 nm	126.35 nm	130.97 nm	135.77 nm	140.75 nm	145.90 nm	151.25 nm	156.79 nm	162.53 nm	168.49 nm	174.66 nm	181.06 nm	187.69 nm	194.56 nm	201.69 nm	209.08 nm	216.74 nm	224.68 nm	232.91 nm	241.44 nm	250.29 nm	259.46 nm	268.96 nm	278.81 nm	289.03 nm	299.61 nm	310.59 nm	321.97 nm	333.76 nm	345.99 nm	358.66 nm	371.80 nm	385.42 nm	399.54 nm	414.18 nm	429.35 nm	445.08 nm	461.38 nm	478.29 nm	495.81 nm	513.97 nm	532.80 nm	552.32 nm	572.55 nm	593.52 nm	615.27 nm	637.80 nm	661.17 nm	685.39 nm	710.50 nm	736.53 nm	763.51 nm	791.48 nm	820.47 nm	850.53 nm	881.68 nm	913.98 nm	947.46 nm	982.17 nm	1018.15 nm	1055.45 nm	1094.11 nm	1134.19 nm	1175.74 nm	1218.81 nm	1263.46 nm	1309.75 nm	1357.73 nm	Cell P [hPa]	Ext. T [°C]	Ext. RH [%]	Ext. 3 []	DMA P-nozzle [Pa]	DMA P [hPa]	DMA T [°C]	Warning	Error	C1/C0	Flow [lpm]	T Con [°C]	T Sat [°C]	T Mes [°C]	T Noz [°C]	T Coo [°C]	T Amb [°C]	I total [A]	I Laser [A]	U_LTrap	diffp [hPa]	Liq	RH dig [%]	T dig [°C]
06/07/2021 00:01:46	06/07/2021 00:05:03	1	DSc.P	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	1.266E+0	7.510E-2	6.617E-1	8.176E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	3.439E-1	5.109E-1	0.000E+0	0.000E+0	0.000E+0	4.289E-1	2.571E-1	4.637E-1	4.873E-1	1.405E+0	1.341E+0	1.459E+0	8.338E-1	4.167E-1	0.000E+0	0.000E+0	7.408E-1	1.085E+0	0.000E+0	0.000E+0	2.266E-1	1.941E-1	0.000E+0	3.906E-1	8.827E-1	1.562E+0	2.094E+0	8.994E-1	6.089E-1	8.580E-1	1.279E+0	9.985E-1	1.650E+0	1.426E+0	8.336E-1	1.075E+0	1.666E+0	4.522E-1	1.478E+0	2.389E+0	2.347E+0	1.773E+0	1.235E+0	1.509E+0	1.890E+0	1.093E+0	1.109E+0	1.983E+0	1.703E+0	1.378E+0	6.677E-1	3.807E-1	1.579E+0	2.009E+0	1.041E+0	3.989E-1	3.039E-1	1.735E+0	1.075E+0	5.006E-1	5.171E-1	2.996E-1	1.569E+0	2.163E+0	1.633E+0	9.460E-1	3.294E-1	9.321E-1	1.988E+0	2.639E+0	9.983E-1	1.433E+0	1.743E+0	1.544E+0	1.946E+0	1.932E+0	1.839E+0	9.525E-1	1.080E-1	1.441E-1	6.713E-1	8.267E-1	5.211E-1	6.892E-1	5.730E-1	3.193E-1	6.166E-2	2.001E-1	2.433E-1	4.904E-1	4.672E-1	0.000E+0	4.568E-2	2.574E-1	1.898E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.421E+2	0.000E+0	0.000E+0	0.000E+0	2.649E+1	8.450E+2	2.420E+1	00008	00000	 1.000E+0	 0.305	 10.01	 36.01	 35.46	 36.19	 30.38	 32.63	 0.754	 0.020	 0.444	     2	000	  0.00	  0.00
06/07/2021 00:05:26	06/07/2021 00:08:43	2	DSc.P	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	1.546E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.448E-1	2.904E-1	0.000E+0	0.000E+0	3.719E-1	5.331E-1	5.057E-1	9.184E-1	0.000E+0	0.000E+0	2.195E-1	4.437E-1	0.000E+0	3.841E-1	0.000E+0	5.160E-1	6.808E-1	3.475E-1	0.000E+0	0.000E+0	5.328E-1	3.307E-1	1.621E+0	1.519E+0	1.898E+0	3.560E-1	6.549E-1	8.150E-1	4.487E-1	1.237E+0	7.235E-1	1.980E+0	2.734E-1	9.088E-1	1.773E+0	1.170E+0	9.601E-1	0.000E+0	6.480E-1	5.976E-1	9.509E-1	1.213E+0	1.692E+0	0.000E+0	2.317E+0	1.764E+0	2.164E+0	1.918E+0	3.029E+0	1.827E+0	2.464E+0	1.995E+0	0.000E+0	6.110E-1	2.605E+0	1.742E+0	9.070E-1	1.103E+0	7.636E-1	1.000E+0	1.084E+0	9.267E-1	8.382E-1	1.972E-2	2.030E+0	1.864E+0	8.024E-1	2.192E+0	2.393E+0	1.912E+0	9.959E-1	1.357E+0	2.423E+0	1.671E+0	1.043E+0	1.254E+0	1.028E+0	5.234E-1	8.258E-1	1.196E+0	6.517E-1	4.862E-1	6.230E-1	2.780E-1	8.935E-1	1.015E+0	3.209E-1	0.000E+0	1.240E-1	3.856E-1	6.515E-1	5.214E-1	4.091E-2	0.000E+0	0.000E+0	3.122E-2	2.546E-1	1.987E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.422E+2	0.000E+0	0.000E+0	0.000E+0	2.585E+1	8.450E+2	2.420E+1	00008	00000	 1.000E+0	 0.305	 10.01	 36.01	 35.46	 36.19	 30.44	 32.57	 0.699	 0.020	 0.449	     2	000	  0.00	  0.00
06/07/2021 00:09:06	06/07/2021 00:12:23	3	DSc.P	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	1.200E+0	8.826E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	2.365E-1	9.960E-1	1.884E+0	0.000E+0	0.000E+0	0.000E+0	1.992E-1	7.155E-1	1.379E+0	0.000E+0	0.000E+0	0.000E+0	1.334E-1	1.082E+0	7.570E-1	4.156E-1	0.000E+0	4.546E-1	0.000E+0	6.694E-1	8.727E-1	7.833E-1	1.618E-1	5.688E-1	2.331E-1	1.056E+0	1.329E+0	2.153E-1	5.103E-1	4.847E-1	1.061E+0	1.283E+0	7.426E-2	1.427E+0	1.837E+0	1.573E-1	3.856E-1	7.890E-1	1.179E+0	1.810E+0	1.008E+0	1.675E+0	9.649E-1	1.346E+0	7.322E-1	1.896E+0	1.522E+0	1.478E+0	1.289E+0	1.172E+0	1.898E+0	2.143E+0	2.095E+0	2.270E+0	2.316E+0	2.177E+0	1.382E+0	2.257E+0	1.813E+0	6.501E-1	1.827E+0	2.716E+0	3.467E+0	2.074E+0	1.417E+0	1.206E+0	2.081E+0	2.704E+0	1.800E+0	1.044E+0	7.994E-1	1.580E+0	2.206E+0	1.001E+0	1.505E+0	1.130E+0	1.333E+0	1.114E+0	1.580E+0	9.316E-1	8.694E-1	7.433E-1	6.620E-1	5.984E-1	4.270E-1	8.961E-1	1.769E+0	1.025E+0	2.265E-1	5.216E-1	9.088E-1	7.269E-1	3.406E-1	2.350E-1	2.377E-1	4.035E-2	2.228E-1	2.461E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.421E+2	0.000E+0	0.000E+0	0.000E+0	2.644E+1	8.450E+2	2.420E+1	00008	00000	 1.000E+0	 0.305	 10.01	 35.95	 35.46	 36.19	 30.38	 32.57	 0.666	 0.021	 0.473	     2	000	  0.00	  0.00
06/07/2021 00:12:46	06/07/2021 00:16:03	4	DSc.P	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	5.088E-1	5.555E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	3.431E-1	1.568E+0	8.969E-1	0.000E+0	1.465E-1	7.261E-1	8.990E-2	2.156E-1	7.262E-1	1.423E+0	1.845E-1	0.000E+0	0.000E+0	1.966E+0	1.041E+0	1.029E+0	1.245E+0	1.323E+0	1.027E+0	7.671E-1	1.448E+0	1.868E+0	1.716E+0	1.925E+0	1.138E+0	5.999E-1	9.061E-1	2.804E+0	1.657E+0	8.589E-1	9.257E-1	1.638E+0	2.491E+0	3.088E+0	6.040E-1	3.775E-1	1.346E+0	1.876E+0	1.645E+0	2.547E+0	2.896E+0	3.218E+0	2.209E+0	3.170E+0	3.590E+0	1.623E+0	1.721E+0	1.849E+0	6.926E-1	1.584E+0	2.291E+0	1.806E+0	1.544E+0	1.907E+0	1.556E+0	1.934E+0	1.533E-1	4.547E-2	2.161E+0	1.949E+0	1.261E+0	1.281E+0	1.488E+0	1.184E+0	1.259E+0	1.161E+0	1.241E+0	9.854E-1	6.407E-1	1.344E+0	2.095E+0	7.429E-1	5.016E-1	3.324E-1	0.000E+0	0.000E+0	2.481E-1	6.207E-1	3.611E-1	4.407E-1	4.866E-1	3.715E-3	0.000E+0	0.000E+0	0.000E+0	0.000E+0	7.041E-2	2.629E-1	1.761E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.421E+2	0.000E+0	0.000E+0	0.000E+0	2.622E+1	8.450E+2	2.418E+1	00008	00000	 1.000E+0	 0.305	 10.01	 36.01	 35.46	 36.19	 30.38	 32.51	 0.788	 0.020	 0.449	     2	012	  0.00	  0.00
06/07/2021 00:16:26	06/07/2021 00:19:43	5	DSc.P	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	7.395E-1	1.056E+0	5.050E-1	3.161E-1	0.000E+0	0.000E+0	2.303E-1	4.534E-1	0.000E+0	1.400E+0	4.381E-1	1.302E+0	7.932E-1	3.301E-1	0.000E+0	3.292E-2	3.075E-1	1.485E-1	5.774E-1	1.098E-1	4.411E-1	0.000E+0	3.428E-1	1.893E+0	6.966E-1	0.000E+0	4.243E-1	8.220E-1	1.214E+0	5.517E-1	7.824E-1	1.555E+0	2.454E+0	1.414E+0	5.036E-1	4.135E-1	1.108E+0	9.259E-1	1.363E+0	3.111E+0	2.536E+0	1.852E+0	6.671E-1	3.409E-1	7.294E-1	6.769E-1	1.124E+0	1.760E+0	1.648E+0	2.252E+0	1.364E+0	1.025E+0	7.013E-2	0.000E+0	1.101E+0	3.238E+0	4.099E+0	2.471E+0	2.550E+0	1.728E+0	9.208E-1	1.800E+0	3.224E+0	2.079E+0	1.542E+0	3.122E+0	2.801E+0	1.028E+0	4.073E-1	2.482E-1	8.713E-1	1.112E+0	6.285E-1	1.219E+0	1.874E+0	1.481E+0	1.419E+0	1.051E+0	4.657E-1	8.145E-2	1.697E-1	7.453E-1	1.004E+0	4.984E-1	1.090E-1	1.500E-1	5.884E-1	5.222E-1	4.252E-2	0.000E+0	0.000E+0	0.000E+0	0.000E+0	5.778E-2	2.602E-1	1.833E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.421E+2	0.000E+0	0.000E+0	0.000E+0	2.640E+1	8.450E+2	2.414E+1	00008	00000	 1.000E+0	 0.305	 10.01	 36.01	 35.46	 36.19	 30.38	 32.57	 0.743	 0.022	 0.468	     2	000	  0.00	  0.00
06/07/2021 00:20:06	06/07/2021 00:23:23	6	DSc.P	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	6.311E-1	6.185E-1	4.841E-1	5.650E-3	4.739E-1	7.744E-1	1.352E+0	1.422E-1	0.000E+0	0.000E+0	3.703E-1	1.481E+0	1.120E+0	9.019E-1	2.689E-1	3.590E-1	0.000E+0	3.487E-1	2.239E-1	1.168E+0	3.604E-1	1.586E-1	8.804E-1	2.629E-1	4.073E-1	1.428E+0	8.868E-2	1.436E+0	1.595E+0	2.539E+0	1.134E+0	6.067E-1	1.590E+0	6.798E-1	8.199E-1	1.535E+0	2.329E+0	2.880E+0	2.155E+0	1.870E+0	1.221E+0	2.049E+0	1.677E+0	1.809E+0	1.787E+0	1.031E+0	7.107E-1	0.000E+0	7.055E-1	1.136E+0	8.214E-1	3.711E-1	1.118E+0	1.972E+0	1.537E+0	9.435E-1	1.184E+0	1.175E+0	1.017E+0	1.922E+0	1.657E+0	8.191E-1	2.395E-1	9.464E-1	1.165E+0	1.480E+0	1.669E+0	1.703E+0	1.779E+0	1.698E+0	1.544E+0	1.247E+0	7.549E-1	3.733E-1	6.343E-1	8.042E-1	1.107E+0	8.628E-1	5.482E-1	2.297E-1	3.563E-1	3.193E-1	2.377E-1	2.405E-1	2.433E-1	4.903E-1	2.335E-1	0.000E+0	4.568E-2	2.574E-1	1.898E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.421E+2	0.000E+0	0.000E+0	0.000E+0	2.655E+1	8.450E+2	2.418E+1	00008	00000	 1.000E+0	 0.305	 10.01	 36.01	 35.46	 36.19	 30.38	 32.57	 0.899	 0.021	 0.459	     2	000	  0.00	  0.00
06/07/2021 00:23:46	06/07/2021 00:27:03	7	DSc.P	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	1.000E-1	1.346E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	5.025E-1	1.319E+0	8.307E-2	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	4.551E-1	9.713E-2	7.875E-2	4.036E-1	5.186E-1	1.649E+0	1.243E+0	5.156E-1	2.810E-1	5.224E-1	1.228E+0	6.815E-1	1.615E+0	8.830E-1	3.521E-1	5.213E-1	1.916E-1	7.751E-1	9.879E-1	1.313E+0	9.601E-1	0.000E+0	5.149E-1	2.867E-1	1.081E+0	0.000E+0	8.634E-1	2.529E-1	5.155E-1	1.564E+0	1.566E+0	1.818E+0	2.777E+0	1.961E+0	1.982E+0	1.758E+0	2.779E+0	2.333E+0	1.737E+0	1.459E+0	1.490E+0	1.399E+0	1.843E+0	5.766E-1	8.664E-1	1.041E+0	8.414E-1	2.049E+0	1.868E+0	1.428E+0	1.114E+0	1.943E+0	1.420E+0	1.268E+0	1.213E+0	2.003E+0	1.413E+0	1.095E+0	7.563E-1	2.322E-1	9.915E-1	9.128E-1	5.817E-1	9.712E-2	4.113E-1	1.243E+0	2.143E+0	1.286E+0	8.828E-1	1.068E+0	1.078E+0	9.347E-1	1.071E+0	8.726E-1	0.000E+0	6.670E-2	3.257E-1	4.646E-1	4.700E-1	4.754E-1	2.808E-1	2.045E-2	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.421E+2	0.000E+0	0.000E+0	0.000E+0	2.655E+1	8.450E+2	2.416E+1	00008	00000	 1.000E+0	 0.305	 10.01	 36.01	 35.46	 36.19	 30.38	 32.57	 0.710	 0.020	 0.473	     2	000	  0.00	  0.00
06/07/2021 00:27:26	06/07/2021 00:30:43	8	DSc.P	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	2.758E-1	1.690E+0	2.965E-1	0.000E+0	0.000E+0	3.546E-1	5.204E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	9.479E-3	4.226E-1	3.028E-1	8.446E-1	1.054E+0	6.587E-1	1.774E-2	3.693E-1	3.121E-1	5.052E-1	6.871E-1	1.464E+0	2.659E-1	9.083E-1	1.422E+0	1.094E+0	4.589E-1	1.773E-1	4.214E-1	1.506E+0	1.050E+0	2.110E+0	1.774E+0	1.463E+0	1.035E+0	9.752E-1	7.221E-1	1.039E+0	1.947E+0	1.868E+0	2.373E+0	2.041E+0	6.810E-1	1.264E+0	1.193E+0	1.419E+0	1.444E+0	2.175E+0	1.976E+0	1.580E+0	7.744E-1	2.168E-1	5.937E-1	1.873E+0	7.532E-1	1.355E-1	9.619E-1	2.165E+0	1.629E+0	1.364E+0	6.316E-1	1.331E+0	1.666E+0	1.924E+0	1.747E+0	1.867E+0	2.248E+0	2.410E+0	1.607E+0	4.430E-1	5.356E-1	6.404E-1	1.732E+0	2.139E+0	7.443E-1	6.414E-1	1.324E+0	1.300E+0	1.035E+0	9.312E-1	1.078E+0	7.804E-1	4.689E-1	6.628E-1	4.495E-1	4.543E-1	2.674E-1	0.000E+0	0.000E+0	3.522E-1	4.810E-1	4.091E-2	2.442E-1	2.335E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.421E+2	0.000E+0	0.000E+0	0.000E+0	2.600E+1	8.450E+2	2.412E+1	00008	00000	 1.000E+0	 0.305	 10.01	 36.01	 35.46	 36.19	 30.38	 32.51	 0.754	 0.020	 0.449	     2	000	  0.00	  0.00
06/07/2021 00:31:06	06/07/2021 00:34:23	9	DSc.P	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	1.119E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.653E-1	1.066E+0	8.047E-2	9.826E-1	1.356E+0	4.460E-1	2.782E-1	3.944E-1	8.663E-1	4.100E-1	3.658E-1	3.634E-1	1.074E+0	6.775E-1	1.800E+0	8.990E-1	4.493E-1	1.044E+0	6.249E-2	2.737E-2	4.673E-1	5.283E-1	0.000E+0	4.886E-1	7.554E-1	1.434E+0	1.716E+0	1.828E+0	1.044E+0	8.335E-1	1.074E-1	1.179E+0	9.099E-1	1.571E+0	3.276E-1	9.301E-1	1.624E+0	1.237E+0	6.173E-1	1.277E+0	2.360E+0	3.549E+0	2.420E+0	2.480E+0	8.510E-1	6.634E-1	1.392E+0	1.797E+0	1.816E+0	2.419E+0	2.044E+0	1.599E+0	1.809E+0	8.685E-1	1.031E+0	7.022E-1	8.879E-1	1.861E+0	2.531E+0	1.205E+0	1.860E+0	2.614E+0	1.716E+0	1.632E+0	1.365E+0	1.081E+0	1.316E+0	1.418E+0	1.329E+0	9.614E-1	9.435E-1	8.441E-1	7.772E-1	1.294E+0	6.690E-1	7.127E-1	4.990E-1	2.223E-1	2.958E-1	6.155E-1	2.688E-1	1.233E-1	3.849E-1	4.754E-1	2.816E-1	2.125E-2	0.000E+0	0.000E+0	3.033E-2	2.546E-1	1.996E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.420E+2	0.000E+0	0.000E+0	0.000E+0	2.601E+1	8.450E+2	2.410E+1	00008	00000	 1.000E+0	 0.305	  9.95	 35.95	 35.46	 36.19	 30.32	 32.57	 0.699	 0.021	 0.449	     2	000	  0.00	  0.00
06/07/2021 00:34:46	06/07/2021 00:38:03	10	DSc.P	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	1.102E-1	1.119E+0	2.904E-1	1.127E+0	2.103E-1	4.889E-1	9.704E-1	2.263E-1	4.349E-1	0.000E+0	2.033E-1	1.334E+0	1.208E+0	7.152E-1	7.242E-1	9.792E-1	1.015E+0	9.068E-1	5.329E-1	1.247E+0	1.185E+0	4.676E-1	7.353E-1	7.878E-1	8.780E-1	9.400E-1	1.911E+0	1.179E+0	1.351E+0	6.699E-1	1.017E+0	1.034E+0	9.043E-1	8.262E-1	4.589E-1	1.080E+0	9.753E-1	5.138E-1	3.562E-1	1.579E+0	1.129E+0	1.336E+0	1.982E+0	1.594E+0	1.726E+0	2.293E+0	1.105E+0	2.207E+0	2.445E+0	2.683E+0	1.482E+0	1.321E+0	1.245E+0	2.536E+0	1.151E+0	5.753E-1	1.494E+0	1.054E+0	9.491E-1	3.848E-1	1.249E+0	1.324E+0	1.001E+0	1.377E+0	9.036E-1	1.276E+0	7.431E-1	1.538E+0	1.679E+0	5.510E-1	6.622E-1	1.249E+0	1.889E+0	1.892E+0	5.621E-1	1.221E+0	1.162E+0	1.025E+0	9.095E-1	4.482E-1	6.741E-1	6.815E-1	5.939E-1	5.881E-1	7.051E-1	3.625E-1	2.405E-1	2.125E-2	0.000E+0	2.489E-1	2.214E-1	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	0.000E+0	8.420E+2	0.000E+0	0.000E+0	0.000E+0	2.627E+1	8.450E+2	2.410E+1	00008	00000	 1.000E+0	 0.305	  9.95	 36.01	 35.46	 36.19	 30.38	 32.63	 0.699	 0.021	 0.449	     2	004	  0.00	  0.00
